FIPS,Name,2013 Rural-urban Continuum Code*,1970,1980,1990,2000,,2008-2012,2017-2021
06000,California,,13.4%,19.6%,23.4%,26.6%,,30.5%,35.3%
06001,"Alameda, CA        ",1,14.6%,22.3%,28.8%,34.9%,,41.1%,49.6%
06003,"Alpine, CA        ",8,3.0%,32.4%,24.0%,28.2%,,31.7%,39.3%
06005,"Amador, CA        ",6,8.4%,12.6%,14.0%,16.6%,,18.8%,19.5%
06007,"Butte, CA        ",3,11.0%,16.9%,19.5%,21.8%,,24.0%,29.8%
06009,"Calaveras, CA        ",6,7.5%,13.8%,14.4%,17.1%,,20.8%,19.9%
06011,"Colusa, CA        ",6,10.0%,12.3%,11.1%,10.6%,,13.5%,14.7%
06013,"Contra Costa, CA        ",1,17.2%,25.5%,31.6%,35.0%,,38.6%,44.1%
06015,"Del Norte, CA        ",7,7.3%,10.1%,10.0%,11.0%,,13.8%,16.1%
06017,"El Dorado, CA        ",1,10.4%,17.4%,20.8%,26.5%,,31.3%,36.8%
06019,"Fresno, CA        ",2,10.2%,15.2%,16.9%,17.5%,,19.4%,22.6%
06021,"Glenn, CA        ",6,7.0%,9.3%,9.4%,10.7%,,15.4%,14.9%
06023,"Humboldt, CA        ",5,10.0%,18.0%,20.0%,23.0%,,26.4%,31.2%
06025,"Imperial, CA        ",3,7.3%,9.6%,9.7%,10.3%,,13.2%,15.2%
06027,"Inyo, CA        ",7,9.3%,12.2%,13.5%,17.1%,,21.0%,27.3%
06029,"Kern, CA        ",2,8.9%,11.8%,13.3%,13.5%,,14.9%,17.6%
06031,"Kings, CA        ",3,8.6%,10.2%,9.0%,10.4%,,12.4%,14.3%
06033,"Lake, CA        ",4,7.2%,10.2%,10.7%,12.1%,,16.8%,17.5%
06035,"Lassen, CA        ",7,7.5%,11.9%,11.7%,10.7%,,13.5%,11.8%
06037,"Los Angeles, CA        ",1,12.7%,18.5%,22.3%,24.9%,,29.5%,34.0%
06039,"Madera, CA        ",3,7.0%,10.7%,11.7%,12.0%,,13.9%,16.4%
06041,"Marin, CA        ",1,26.6%,38.3%,44.0%,51.3%,,54.6%,60.1%
06043,"Mariposa, CA        ",8,10.1%,15.4%,16.8%,20.2%,,19.9%,28.9%
06045,"Mendocino, CA        ",4,9.3%,17.6%,17.8%,20.2%,,21.4%,24.5%
06047,"Merced, CA        ",2,8.3%,10.5%,12.0%,11.0%,,12.5%,14.1%
06049,"Modoc, CA        ",6,7.0%,12.4%,11.2%,12.4%,,19.4%,19.7%
06051,"Mono, CA        ",7,10.5%,22.7%,21.9%,28.9%,,29.1%,29.5%
06053,"Monterey, CA        ",2,15.0%,19.6%,21.5%,22.5%,,23.2%,26.5%
06055,"Napa, CA        ",3,11.4%,17.8%,22.3%,26.4%,,31.2%,37.0%
06057,"Nevada, CA        ",4,9.7%,18.0%,22.1%,26.1%,,32.7%,38.7%
06059,"Orange, CA        ",1,15.8%,22.6%,27.8%,30.8%,,36.6%,42.1%
06061,"Placer, CA        ",1,10.0%,16.7%,22.7%,30.3%,,34.7%,41.6%
06063,"Plumas, CA        ",7,9.1%,14.5%,15.1%,17.5%,,22.9%,23.0%
06065,"Riverside, CA        ",1,10.6%,12.8%,14.6%,16.6%,,20.5%,23.5%
06067,"Sacramento, CA        ",1,13.1%,19.3%,23.0%,24.8%,,27.9%,32.0%
06069,"San Benito, CA        ",1,7.0%,10.6%,14.4%,17.1%,,18.4%,20.5%
06071,"San Bernardino, CA        ",1,9.2%,13.1%,14.9%,15.9%,,18.6%,21.9%
06073,"San Diego, CA        ",1,14.0%,20.9%,25.3%,29.5%,,34.4%,40.3%
06075,"San Francisco, CA        ",1,16.7%,28.2%,35.0%,45.0%,,52.0%,59.5%
06077,"San Joaquin, CA        ",2,8.0%,11.5%,13.2%,14.5%,,17.9%,19.5%
06079,"San Luis Obispo, CA        ",2,11.1%,19.0%,22.9%,26.7%,,31.5%,36.7%
06081,"San Mateo, CA        ",1,17.1%,25.5%,31.3%,39.0%,,43.9%,52.5%
06083,"Santa Barbara, CA        ",2,17.9%,24.6%,26.6%,29.4%,,31.5%,35.1%
06085,"Santa Clara, CA        ",1,19.5%,26.4%,32.6%,40.5%,,46.0%,54.4%
06087,"Santa Cruz, CA        ",2,13.2%,23.5%,29.7%,34.2%,,37.5%,41.9%
06089,"Shasta, CA        ",3,8.6%,12.4%,13.7%,16.6%,,19.3%,22.6%
06091,"Sierra, CA        ",8,9.4%,18.0%,15.9%,17.2%,,16.7%,22.3%
06093,"Siskiyou, CA        ",6,7.5%,14.1%,14.2%,17.7%,,23.1%,21.5%
06095,"Solano, CA        ",2,9.3%,13.7%,18.7%,21.4%,,24.2%,27.8%
06097,"Sonoma, CA        ",2,11.1%,19.3%,24.5%,28.5%,,32.1%,37.1%
06099,"Stanislaus, CA        ",2,8.2%,11.8%,13.0%,14.1%,,16.3%,17.9%
06101,"Sutter, CA        ",3,10.7%,14.4%,15.4%,15.3%,,18.4%,20.0%
06103,"Tehama, CA        ",4,7.3%,9.1%,10.2%,11.3%,,13.1%,17.0%
06105,"Trinity, CA        ",8,9.5%,13.6%,12.9%,15.5%,,19.7%,18.6%
06107,"Tulare, CA        ",2,7.2%,10.1%,11.8%,11.5%,,13.3%,15.2%
06109,"Tuolumne, CA        ",4,8.0%,13.7%,14.7%,16.1%,,17.4%,24.6%
06111,"Ventura, CA        ",2,12.3%,18.2%,23.0%,26.9%,,31.2%,34.0%
06113,"Yolo, CA        ",1,18.4%,27.0%,30.3%,34.1%,,38.0%,43.1%
06115,"Yuba, CA        ",3,8.1%,9.3%,9.5%,10.3%,,13.6%,17.7%
,,,,,,,,,
"See the Census Bureau website for a description of FIPS codes.

*The 2013 Rural-urban Continuum Codes classify metropolitan counties (codes 1 through 3) by size of the Metropolitan Statistical Area (MSA), and nonmetropolitan counties (codes 4 through 9) by degree of urbanization and proximity to metro areas. See the Rural-urban continuum codes for definitions of each code.

For 1970 and 1980, the share of adults who are college graduates includes those who completed four or more years of college regardless of degree earned. For 1990 through the most recent estimates, the share includes those who received a bachelor’s or higher degree.

The Census Bureau's American Community Survey estimates are derived from survey data collected over a 5-year period.

Data are for adults 25 years of age and older.

Sources: U.S. Census Bureau, 1970, 1980, 1990, 2000 Decennial Censuses, and the 2008-2012 and 2017-2021 American Community Survey.


",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
