S.No.,State ,City,ICAO,FAA,IATA,Airport,Role,Enplanements
1,Alabama,Birmingham,KBHM,BHM,BHM,Birmingham–Shuttlesworth International Airport,P-S,1081328
2,Alabama,Dothan,KDHN,DHN,DHN,Dothan Regional Airport,P-N,37047
3,Alabama,Huntsville,KHSV,HSV,HSV,Huntsville International Airport (Carl T. Jones Field),P-S,459759
4,Alabama,Mobile,KMOB,MOB,MOB,Mobile Regional Airport,P-N,236007
5,Alabama,Montgomery,KMGM,MGM,MGM,Montgomery Regional Airport (Dannelly Field),P-N,129033
6,Alaska,Anchorage,PAMR,MRI,MRI,Merrill Field,P-N,22907
7,Alaska,Anchorage,PANC,ANC,ANC,Ted Stevens Anchorage International Airport,P-M,2184959
8,Alaska,Bethel,PABE,BET,BET,Bethel Airport (also see Bethel Seaplane Base),P-N,105877
9,Alaska,Cordova,PACV,CDV,CDV,Merle K. (Mudhole) Smith Airport,P-N,15058
10,Alaska,Deadhorse,PASC,SCC,SCC,Deadhorse Airport (Prudhoe Bay Airport),P-N,64245
11,Alaska,Dillingham,PADL,DLG,DLG,Dillingham Airport,P-N,25988
12,Alaska,Fairbanks,PAFA,FAI,FAI,Fairbanks International Airport,P-S,450694
13,Alaska,Gustavus,PAGS,GST,GST,Gustavus Airport,P-N,10305
14,Alaska,Homer,PAHO,HOM,HOM,Homer Airport,P-N,30972
15,Alaska,Juneau,PAJN,JNU,JNU,Juneau International Airport,P-N,306512
16,Alaska,Kenai,PAEN,ENA,ENA,Kenai Municipal Airport,P-N,68044
17,Alaska,Ketchikan,PAKT,KTN,KTN,Ketchikan International Airport,P-N,117728
18,Alaska,King Salmon,PAKN,AKN,AKN,King Salmon Airport,P-N,29914
19,Alaska,Klawock,PAKW,AKW,KLW,Klawock Airport (also see Klawock Seaplane Base),P-N,14157
20,Alaska,Kodiak,PADQ,ADQ,ADQ,Kodiak Airport (Benny Benson State Airport),P-N,72905
21,Alaska,Kotzebue,PAOT,OTZ,OTZ,Ralph Wien Memorial Airport,P-N,46305
22,Alaska,Nome,PAOM,OME,OME,Nome Airport,P-N,46645
23,Alaska,Petersburg,PAPG,PSG,PSG,Petersburg James A. Johnson Airport,P-N,20690
